@relation pordiascalidadaire
@attribute fecha date 'dd-MM-yyyy'
@attribute 'SO2 (µg/m³)' numeric
@attribute 'NO (µg/m³)' numeric
@attribute 'NO2 (µg/m³)' numeric
@attribute 'CO (mg/m³)' numeric
@attribute barrio {eixample,girona,gracia,palaureial}
@attribute anyo {2016,2017}
@attribute mes {1,10,11,12,2,3,4,5,6,7,8,9}
@attribute dia {1,2,3,4,5,6,7}
@attribute laborable {falso,verdadero}
@attribute trimestre {1erTrimestre,'2do Trimestre','3do Trimestre','4o Trimestre'}
@data
26-11-2016,6.00,14.00,34.00,0.40,girona,2016,11,7,falso,'4o Trimestre'
27-11-2016,1.00,20.00,46.00,0.60,eixample,2016,11,1,falso,'4o Trimestre'
27-11-2016,1.00,7.00,33.00,0.30,gracia,2016,11,1,falso,'4o Trimestre'
27-11-2016,2.00,2.00,22.00,0.20,palaureial,2016,11,1,falso,'4o Trimestre'
27-11-2016,7.00,12.00,34.00,0.50,girona,2016,11,1,falso,'4o Trimestre'
28-11-2016,1.00,29.00,50.00,0.40,gracia,2016,11,2,verdadero,'4o Trimestre'
28-11-2016,1.00,51.00,59.00,0.90,eixample,2016,11,2,verdadero,'4o Trimestre'
28-11-2016,2.00,6.00,33.00,0.30,palaureial,2016,11,2,verdadero,'4o Trimestre'
28-11-2016,7.00,32.00,32.00,0.50,girona,2016,11,2,verdadero,'4o Trimestre'
29-11-2016,1.00,29.00,47.00,0.30,gracia,2016,11,3,verdadero,'4o Trimestre'
29-11-2016,2.00,13.00,33.00,0.40,palaureial,2016,11,3,verdadero,'4o Trimestre'
29-11-2016,2.00,47.00,59.00,0.80,eixample,2016,11,3,verdadero,'4o Trimestre'
29-11-2016,8.00,47.00,43.00,0.60,girona,2016,11,3,verdadero,'4o Trimestre'
30-11-2016,1.00,32.00,57.00,0.60,gracia,2016,11,4,verdadero,'4o Trimestre'
01-12-2016,1.00,38.00,68.00,0.50,gracia,2016,12,5,verdadero,'4o Trimestre'
02-12-2016,1.00,81.00,69.00,0.50,gracia,2016,12,6,verdadero,'4o Trimestre'
03-12-2016,1.00,33.00,54.00,0.30,gracia,2016,12,7,falso,'4o Trimestre'
04-12-2016,1.00,6.00,31.00,0.20,gracia,2016,12,1,falso,'4o Trimestre'
05-12-2016,1.00,9.00,32.00,0.30,gracia,2016,12,2,verdadero,'4o Trimestre'
06-12-2016,1.00,14.00,45.00,0.40,gracia,2016,12,3,verdadero,'4o Trimestre'
07-12-2016,1.00,37.00,68.00,0.40,gracia,2016,12,4,verdadero,'4o Trimestre'
08-12-2016,1.00,25.00,54.00,0.50,gracia,2016,12,5,verdadero,'4o Trimestre'
09-12-2016,1.00,31.00,61.00,0.30,gracia,2016,12,6,verdadero,'4o Trimestre'
10-12-2016,3.00,46.00,66.00,0.50,gracia,2016,12,7,falso,'4o Trimestre'
11-12-2016,2.00,38.00,59.00,0.50,gracia,2016,12,1,falso,'4o Trimestre'
12-12-2016,7.00,276.00,130.00,1.90,gracia,2016,12,2,verdadero,'4o Trimestre'
13-12-2016,1.00,81.00,88.00,0.60,gracia,2016,12,3,verdadero,'4o Trimestre'
14-12-2016,3.00,71.00,82.00,0.70,gracia,2016,12,4,verdadero,'4o Trimestre'
15-12-2016,2.00,50.00,74.00,0.60,gracia,2016,12,5,verdadero,'4o Trimestre'
16-12-2016,6.00,29.00,63.00,0.40,gracia,2016,12,6,verdadero,'4o Trimestre'
17-12-2016,3.00,7.00,31.00,0.20,gracia,2016,12,7,falso,'4o Trimestre'
18-12-2016,1.00,9.00,39.00,0.30,gracia,2016,12,1,falso,'4o Trimestre'
19-12-2016,2.00,20.00,45.00,0.30,gracia,2016,12,2,verdadero,'4o Trimestre'
20-12-2016,3.00,24.00,43.00,0.40,gracia,2016,12,3,verdadero,'4o Trimestre'
21-12-2016,4.00,41.00,58.00,0.60,gracia,2016,12,4,verdadero,'4o Trimestre'
22-12-2016,5.00,73.00,81.00,0.80,gracia,2016,12,5,verdadero,'4o Trimestre'
23-12-2016,6.00,112.00,89.00,1.00,gracia,2016,12,6,verdadero,'4o Trimestre'
24-12-2016,2.00,72.00,64.00,0.40,gracia,2016,12,7,falso,'4o Trimestre'
25-12-2016,3.00,65.00,57.00,0.50,gracia,2016,12,1,falso,'4o Trimestre'
26-12-2016,1.00,87.00,60.00,0.50,gracia,2016,12,2,verdadero,'4o Trimestre'
27-12-2016,4.00,176.00,104.00,1.00,gracia,2016,12,3,verdadero,'4o Trimestre'
28-12-2016,3.00,98.00,85.00,0.90,gracia,2016,12,4,verdadero,'4o Trimestre'
29-12-2016,6.00,79.00,70.00,0.70,gracia,2016,12,5,verdadero,'4o Trimestre'
30-11-2016,2.00,10.00,39.00,0.50,palaureial,2016,11,4,verdadero,'4o Trimestre'
01-12-2016,2.00,15.00,41.00,0.40,palaureial,2016,12,5,verdadero,'4o Trimestre'
02-12-2016,2.00,15.00,36.00,0.60,palaureial,2016,12,6,verdadero,'4o Trimestre'
03-12-2016,2.00,5.00,34.00,0.40,palaureial,2016,12,7,falso,'4o Trimestre'
04-12-2016,2.00,2.00,19.00,0.20,palaureial,2016,12,1,falso,'4o Trimestre'
05-12-2016,2.00,1.00,20.00,0.20,palaureial,2016,12,2,verdadero,'4o Trimestre'
06-12-2016,3.00,7.00,32.00,0.30,palaureial,2016,12,3,verdadero,'4o Trimestre'
07-12-2016,2.00,10.00,44.00,0.50,palaureial,2016,12,4,verdadero,'4o Trimestre'
08-12-2016,2.00,21.00,45.00,0.60,palaureial,2016,12,5,verdadero,'4o Trimestre'
09-12-2016,3.00,27.00,44.00,0.50,palaureial,2016,12,6,verdadero,'4o Trimestre'
10-12-2016,2.00,26.00,56.00,0.50,palaureial,2016,12,7,falso,'4o Trimestre'
11-12-2016,2.00,18.00,39.00,0.60,palaureial,2016,12,1,falso,'4o Trimestre'
12-12-2016,3.00,88.00,70.00,1.10,palaureial,2016,12,2,verdadero,'4o Trimestre'
13-12-2016,3.00,58.00,66.00,0.80,palaureial,2016,12,3,verdadero,'4o Trimestre'
14-12-2016,2.00,40.00,57.00,0.60,palaureial,2016,12,4,verdadero,'4o Trimestre'
15-12-2016,2.00,31.00,55.00,0.40,palaureial,2016,12,5,verdadero,'4o Trimestre'
16-12-2016,2.00,8.00,46.00,0.30,palaureial,2016,12,6,verdadero,'4o Trimestre'
17-12-2016,2.00,3.00,23.00,0.20,palaureial,2016,12,7,falso,'4o Trimestre'
18-12-2016,2.00,2.00,23.00,0.30,palaureial,2016,12,1,falso,'4o Trimestre'
19-12-2016,2.00,3.00,28.00,0.30,palaureial,2016,12,2,verdadero,'4o Trimestre'
20-12-2016,2.00,4.00,20.00,0.30,palaureial,2016,12,3,verdadero,'4o Trimestre'
21-12-2016,2.00,7.00,25.00,0.40,palaureial,2016,12,4,verdadero,'4o Trimestre'
22-12-2016,2.00,28.00,41.00,0.50,palaureial,2016,12,5,verdadero,'4o Trimestre'
23-12-2016,2.00,21.00,36.00,0.40,palaureial,2016,12,6,verdadero,'4o Trimestre'
24-12-2016,2.00,12.00,31.00,0.30,palaureial,2016,12,7,falso,'4o Trimestre'
25-12-2016,2.00,6.00,17.00,0.30,palaureial,2016,12,1,falso,'4o Trimestre'
26-12-2016,2.00,25.00,44.00,0.40,palaureial,2016,12,2,verdadero,'4o Trimestre'
27-12-2016,3.00,67.00,64.00,0.50,palaureial,2016,12,3,verdadero,'4o Trimestre'
28-12-2016,2.00,42.00,56.00,0.40,palaureial,2016,12,4,verdadero,'4o Trimestre'
29-12-2016,2.00,22.00,45.00,0.40,palaureial,2016,12,5,verdadero,'4o Trimestre'
30-11-2016,2.00,56.00,69.00,0.90,eixample,2016,11,4,verdadero,'4o Trimestre'
01-12-2016,1.00,34.00,63.00,0.70,eixample,2016,12,5,verdadero,'4o Trimestre'
02-12-2016,2.00,45.00,56.00,0.70,eixample,2016,12,6,verdadero,'4o Trimestre'
03-12-2016,2.00,53.00,66.00,0.80,eixample,2016,12,7,falso,'4o Trimestre'
04-12-2016,2.00,17.00,48.00,0.60,eixample,2016,12,1,falso,'4o Trimestre'
05-12-2016,1.00,25.00,50.00,0.70,eixample,2016,12,2,verdadero,'4o Trimestre'
06-12-2016,2.00,34.00,60.00,0.80,eixample,2016,12,3,verdadero,'4o Trimestre'
07-12-2016,2.00,82.00,81.00,1.20,eixample,2016,12,4,verdadero,'4o Trimestre'
08-12-2016,1.00,50.00,67.00,0.90,eixample,2016,12,5,verdadero,'4o Trimestre'
09-12-2016,2.00,58.00,72.00,0.80,eixample,2016,12,6,verdadero,'4o Trimestre'
10-12-2016,2.00,74.00,74.00,0.80,eixample,2016,12,7,falso,'4o Trimestre'
11-12-2016,2.00,50.00,54.00,0.60,eixample,2016,12,1,falso,'4o Trimestre'
12-12-2016,5.00,227.00,105.00,2.00,eixample,2016,12,2,verdadero,'4o Trimestre'
13-12-2016,4.00,235.00,108.00,1.90,eixample,2016,12,3,verdadero,'4o Trimestre'
14-12-2016,2.00,65.00,77.00,0.90,eixample,2016,12,4,verdadero,'4o Trimestre'
15-12-2016,2.00,111.00,89.00,1.30,eixample,2016,12,5,verdadero,'4o Trimestre'
16-12-2016,1.00,70.00,86.00,1.00,eixample,2016,12,6,verdadero,'4o Trimestre'
17-12-2016,1.00,28.00,52.00,0.70,eixample,2016,12,7,falso,'4o Trimestre'
18-12-2016,1.00,25.00,57.00,0.70,eixample,2016,12,1,falso,'4o Trimestre'
19-12-2016,1.00,45.00,64.00,0.80,eixample,2016,12,2,verdadero,'4o Trimestre'
20-12-2016,1.00,33.00,48.00,0.60,eixample,2016,12,3,verdadero,'4o Trimestre'
21-12-2016,2.00,79.00,66.00,1.10,eixample,2016,12,4,verdadero,'4o Trimestre'
22-12-2016,2.00,118.00,84.00,1.40,eixample,2016,12,5,verdadero,'4o Trimestre'
23-12-2016,1.00,36.00,52.00,?,eixample,2016,12,6,verdadero,'4o Trimestre'
24-12-2016,2.00,79.00,60.00,?,eixample,2016,12,7,falso,'4o Trimestre'
25-12-2016,1.00,36.00,38.00,?,eixample,2016,12,1,falso,'4o Trimestre'
26-12-2016,2.00,160.00,73.00,?,eixample,2016,12,2,verdadero,'4o Trimestre'
27-12-2016,5.00,276.00,107.00,?,eixample,2016,12,3,verdadero,'4o Trimestre'
28-12-2016,4.00,196.00,92.00,?,eixample,2016,12,4,verdadero,'4o Trimestre'
29-12-2016,2.00,98.00,76.00,?,eixample,2016,12,5,verdadero,'4o Trimestre'
30-11-2016,3.00,33.00,36.00,0.50,girona,2016,11,4,verdadero,'4o Trimestre'
01-12-2016,5.00,72.00,36.00,0.60,girona,2016,12,5,verdadero,'4o Trimestre'
02-12-2016,5.00,109.00,49.00,0.80,girona,2016,12,6,verdadero,'4o Trimestre'
03-12-2016,1.00,29.00,36.00,0.50,girona,2016,12,7,falso,'4o Trimestre'
04-12-2016,1.00,20.00,26.00,0.60,girona,2016,12,1,falso,'4o Trimestre'
05-12-2016,?,?,?,?,girona,2016,12,2,verdadero,'4o Trimestre'
06-12-2016,?,?,?,?,girona,2016,12,3,verdadero,'4o Trimestre'
07-12-2016,2.00,34.00,48.00,0.60,girona,2016,12,4,verdadero,'4o Trimestre'
08-12-2016,2.00,25.00,35.00,0.50,girona,2016,12,5,verdadero,'4o Trimestre'
09-12-2016,1.00,52.00,42.00,0.60,girona,2016,12,6,verdadero,'4o Trimestre'
10-12-2016,3.00,39.00,31.00,0.60,girona,2016,12,7,falso,'4o Trimestre'
11-12-2016,2.00,56.00,38.00,0.80,girona,2016,12,1,falso,'4o Trimestre'
12-12-2016,8.00,141.00,57.00,1.00,girona,2016,12,2,verdadero,'4o Trimestre'
13-12-2016,3.00,72.00,45.00,0.70,girona,2016,12,3,verdadero,'4o Trimestre'
14-12-2016,5.00,58.00,46.00,0.60,girona,2016,12,4,verdadero,'4o Trimestre'
15-12-2016,2.00,60.00,47.00,0.70,girona,2016,12,5,verdadero,'4o Trimestre'
16-12-2016,1.00,40.00,47.00,0.50,girona,2016,12,6,verdadero,'4o Trimestre'
17-12-2016,3.00,24.00,35.00,0.50,girona,2016,12,7,falso,'4o Trimestre'
18-12-2016,1.00,23.00,31.00,0.50,girona,2016,12,1,falso,'4o Trimestre'
19-12-2016,3.00,30.00,38.00,0.50,girona,2016,12,2,verdadero,'4o Trimestre'
20-12-2016,1.00,14.00,32.00,0.40,girona,2016,12,3,verdadero,'4o Trimestre'
21-12-2016,4.00,36.00,52.00,0.60,girona,2016,12,4,verdadero,'4o Trimestre'
22-12-2016,5.00,70.00,52.00,0.70,girona,2016,12,5,verdadero,'4o Trimestre'
23-12-2016,3.00,81.00,50.00,0.80,girona,2016,12,6,verdadero,'4o Trimestre'
24-12-2016,1.00,66.00,37.00,0.80,girona,2016,12,7,falso,'4o Trimestre'
25-12-2016,2.00,62.00,33.00,0.80,girona,2016,12,1,falso,'4o Trimestre'
26-12-2016,2.00,73.00,40.00,0.80,girona,2016,12,2,verdadero,'4o Trimestre'
27-12-2016,6.00,96.00,50.00,0.80,girona,2016,12,3,verdadero,'4o Trimestre'
28-12-2016,3.00,71.00,47.00,0.70,girona,2016,12,4,verdadero,'4o Trimestre'
29-12-2016,3.00,78.00,43.00,0.70,girona,2016,12,5,verdadero,'4o Trimestre'
30-12-2016,1.00,64.00,78.00,?,eixample,2016,12,6,verdadero,'4o Trimestre'
30-12-2016,2.00,20.00,48.00,0.30,palaureial,2016,12,6,verdadero,'4o Trimestre'
30-12-2016,3.00,54.00,45.00,0.60,girona,2016,12,6,verdadero,'4o Trimestre'
30-12-2016,4.00,40.00,65.00,0.60,gracia,2016,12,6,verdadero,'4o Trimestre'
31-12-2016,1.00,23.00,33.00,0.60,girona,2016,12,7,falso,'4o Trimestre'
01-01-2017,3.00,36.00,35.00,0.70,girona,2017,1,1,falso,1erTrimestre
02-01-2017,6.00,74.00,47.00,0.70,girona,2017,1,2,verdadero,1erTrimestre
03-01-2017,3.00,61.00,45.00,0.70,girona,2017,1,3,verdadero,1erTrimestre
04-01-2017,3.00,75.00,47.00,0.80,girona,2017,1,4,verdadero,1erTrimestre
05-01-2017,2.00,33.00,38.00,0.40,girona,2017,1,5,verdadero,1erTrimestre
06-01-2017,5.00,20.00,39.00,0.30,girona,2017,1,6,verdadero,1erTrimestre
07-01-2017,11.00,84.00,51.00,0.70,girona,2017,1,7,falso,1erTrimestre
08-01-2017,11.00,140.00,61.00,1.10,girona,2017,1,1,falso,1erTrimestre
09-01-2017,2.00,47.00,44.00,0.40,girona,2017,1,2,verdadero,1erTrimestre
10-01-2017,8.00,95.00,54.00,0.70,girona,2017,1,3,verdadero,1erTrimestre
11-01-2017,9.00,26.00,42.00,0.30,girona,2017,1,4,verdadero,1erTrimestre
12-01-2017,9.00,63.00,42.00,0.50,girona,2017,1,5,verdadero,1erTrimestre
13-01-2017,3.00,24.00,41.00,0.30,girona,2017,1,6,verdadero,1erTrimestre
14-01-2017,7.00,26.00,42.00,0.30,girona,2017,1,7,falso,1erTrimestre
15-01-2017,6.00,14.00,35.00,0.30,girona,2017,1,1,falso,1erTrimestre
16-01-2017,10.00,42.00,40.00,0.40,girona,2017,1,2,verdadero,1erTrimestre
17-01-2017,7.00,13.00,29.00,0.30,girona,2017,1,3,verdadero,1erTrimestre
18-01-2017,7.00,42.00,50.00,0.40,girona,2017,1,4,verdadero,1erTrimestre
19-01-2017,6.00,31.00,50.00,0.30,girona,2017,1,5,verdadero,1erTrimestre
20-01-2017,8.00,19.00,40.00,0.30,girona,2017,1,6,verdadero,1erTrimestre
21-01-2017,7.00,7.00,29.00,0.30,girona,2017,1,7,falso,1erTrimestre
